red_4_month,red_5_month,red_6_month,red_8_month,red_9_month,id,elevation_contour,district_name,soil_name,class
,0.212,0.404,0.447,0.46,1,660,4,5,7
,0.321,0.464,0.427,0.391,4,660,4,5,10
,0.432,0.343,0.061,0.062,7,707,4,10,16
,0.327,0.443,0.515,0.388,11,656,4,6,4
,0.736,0.652,0.11800000000000001,0.614,14,715,4,10,7
,0.562,0.425,0.294,0.14100000000000001,17,654,4,6,16
,0.557,0.28600000000000003,0.091,0.121,20,709,4,8,8
,0.309,0.299,0.419,0.213,23,676,4,10,10
,0.268,0.152,0.073,0.084,26,705,4,8,7
,0.25,0.132,0.107,0.09,29,672,4,10,10
,0.782,0.423,0.40900000000000003,0.23900000000000002,32,685,4,10,8
,0.594,0.37,0.616,0.325,35,685,4,10,10
,0.431,0.353,0.147,0.154,38,692,4,10,10
,0.42,0.193,0.187,0.177,41,728,4,10,10
,0.162,0.2,0.219,0.191,45,707,4,10,10
,0.099,0.051000000000000004,0.05,0.041,50,720,4,10,4
,0.155,0.066,0.081,0.093,53,735,4,10,4
,0.14400000000000002,0.114,0.047,0.055,56,720,4,10,10
,0.166,0.129,0.06,0.063,59,721,4,10,4
,0.29,0.196,0.056,0.054,63,665,7,6,7
,0.046,0.037,0.012,0.015,65,742,4,10,4
,0.639,0.427,0.13,0.124,68,683,4,10,12
,0.4,0.153,0.275,0.229,71,670,7,6,7
,0.31,0.181,0.046,0.052000000000000005,73,708,4,10,16
,0.383,0.10200000000000001,0.135,0.12,76,658,7,6,7
,0.1,0.057,0.019,0.022,78,751,4,3,4
,0.05,0.035,0.014,0.016,81,751,4,3,16
,0.041,0.044,0.033,0.019,84,715,4,10,7
,0.373,0.20600000000000002,0.068,0.059000000000000004,87,610,4,12,16
,0.085,0.12,0.089,0.047,90,706,4,10,7
,0.636,0.363,0.111,0.12,93,752,4,3,7
,0.5650000000000001,0.255,0.081,0.084,96,750,4,10,8
,0.6980000000000001,0.465,0.12,0.134,99,757,4,3,7
,0.048,0.042,0.011,0.015,102,766,4,3,4
,0.383,0.243,0.12,0.108,105,638,4,9,16
,0.47700000000000004,0.153,0.213,0.221,108,682,7,6,4
,0.457,0.224,0.095,0.066,110,605,7,12,8
,0.17200000000000001,0.084,0.041,0.044,113,621,4,9,16
0.124,0.426,0.404,0.14750000000000002,0.154,117,687,7,6,16
0.362,0.606,0.294,0.258,0.332,119,686,7,6,4
0.10400000000000001,0.146,0.133,0.1505,0.065,121,606,7,12,8
0.178,0.298,0.232,0.23349999999999999,0.151,124,711,7,10,10
0.14100000000000001,0.40800000000000003,0.262,0.0915,0.089,127,599,7,12,16
0.228,0.494,0.339,0.097,0.0885,129,724,7,10,8
0.23700000000000002,0.451,0.304,0.088,0.08600000000000001,132,723,7,10,8
0.259,0.499,0.186,0.089,0.10300000000000001,135,587,7,12,7
0.124,0.14400000000000002,0.396,0.5545,0.504,138,737,7,10,4
0.134,0.55,0.52,0.1815,0.294,141,713,7,10,7
0.248,0.555,0.549,0.20700000000000002,0.188,144,737,7,10,8
0.08600000000000001,0.386,0.159,0.23,0.295,147,742,7,10,7
0.047,0.11,0.073,0.02,0.019,150,784,7,3,16
0.097,0.218,0.28600000000000003,0.6315,0.587,153,717,7,10,10
0.139,0.20500000000000002,0.27,0.6205,0.644,156,712,7,10,8
0.078,0.217,0.14200000000000002,0.052000000000000005,0.038,159,603,7,12,8
0.129,0.498,0.23700000000000002,0.096,0.065,162,605,7,9,8
0.154,0.355,0.182,0.101,0.06,164,606,7,9,16
0.076,0.273,0.133,0.059,0.039,167,599,7,12,7
0.134,0.429,0.252,0.0935,0.05,170,603,7,9,16
0.147,0.445,0.252,0.0975,0.05,173,605,7,9,11
0.126,0.356,0.179,0.08549999999999999,0.056,176,605,7,9,16
0.116,0.28200000000000003,0.18,0.069,0.068,179,600,7,9,8
0.195,0.405,0.148,0.065,0.052000000000000005,181,593,7,12,16
0.10400000000000001,0.657,0.456,0.249,0.169,184,589,7,12,0
0.074,0.398,0.214,0.0935,0.067,186,588,7,12,8
0.068,0.211,0.105,0.0375,0.037,189,914,7,2,16
0.185,0.245,0.137,0.094,0.22,191,651,7,6,7
0.043000000000000003,0.097,0.195,0.273,0.211,193,651,7,6,10
0.155,0.527,0.452,0.107,0.08700000000000001,195,913,7,2,16
0.031,0.117,0.08600000000000001,0.056,0.06,197,620,7,9,7
0.182,0.453,0.367,0.16,0.122,199,630,7,6,16
0.15,0.20700000000000002,0.123,0.28500000000000003,0.188,201,643,7,6,0
0.107,0.12,0.111,0.14300000000000002,0.369,203,696,7,10,10
0.171,0.186,0.1,0.15,0.088,205,625,7,9,16
0.296,0.418,0.214,0.377,0.308,208,659,7,6,0
0.082,0.28500000000000003,0.243,0.185,0.259,210,669,7,6,4
0.139,0.293,0.125,0.233,0.528,212,664,7,10,4
0.113,0.23700000000000002,0.383,0.631,0.594,215,657,7,6,4
0.134,0.265,0.256,0.093,0.079,218,1063,3,2,10
0.054,0.084,0.112,0.329,0.251,221,696,7,10,10
0.076,0.155,0.248,0.5750000000000001,0.549,224,646,7,6,10
0.263,0.596,0.582,0.145,0.084,227,1037,3,2,16
0.661,0.722,0.653,0.658,0.501,229,724,3,10,4
0.47400000000000003,0.741,0.492,0.145,0.136,232,729,3,10,8
0.338,0.561,0.459,0.323,0.221,235,966,3,2,7
0.27,0.5720000000000001,0.539,0.159,0.136,238,945,3,3,16
0.302,0.59,0.529,0.14400000000000002,0.091,241,953,3,3,8
0.179,0.379,0.2,0.096,0.084,244,626,3,6,8
0.133,0.341,0.23700000000000002,0.081,0.101,247,619,3,6,7
0.10300000000000001,0.185,0.146,0.169,0.17500000000000002,250,658,3,6,10
0.07100000000000001,0.202,0.276,0.358,0.331,253,667,3,6,13
0.171,0.404,0.34700000000000003,0.113,0.189,256,722,3,10,8
0.052000000000000005,0.138,0.108,0.199,0.20600000000000002,259,716,3,10,8
0.155,0.497,0.34500000000000003,0.081,0.088,262,742,3,10,16
0.319,0.581,0.47000000000000003,0.185,0.156,265,728,3,10,8
0.17400000000000002,0.276,0.215,0.171,0.177,268,645,3,6,8
0.085,0.315,0.279,0.511,0.47400000000000003,271,652,3,6,4
0.064,0.308,0.233,0.496,0.448,274,652,3,6,13
0.085,0.316,0.37,0.511,0.423,277,649,3,6,4
0.055,0.265,0.317,0.306,0.179,280,651,3,6,4
0.114,0.301,0.312,0.47900000000000004,0.399,283,649,3,6,8
0.06,0.225,0.182,0.049,0.046,286,719,3,10,16
0.096,0.315,0.169,0.052000000000000005,0.051000000000000004,289,585,3,12,16
0.449,0.458,0.20800000000000002,0.066,0.069,291,653,3,8,10
0.13,0.435,0.23600000000000002,0.076,0.07200000000000001,294,584,3,12,16
0.372,0.627,0.34900000000000003,0.106,0.11800000000000001,296,667,3,6,8
0.244,0.373,0.302,0.293,0.231,299,813,3,3,7
0.07,0.182,0.112,0.041,0.04,302,588,3,12,10
0.059000000000000004,0.154,0.097,0.035,0.034,305,587,3,12,10
0.17500000000000002,0.359,0.28800000000000003,0.106,0.07200000000000001,308,773,3,3,8
0.096,0.22,0.125,0.041,0.039,311,594,3,12,6
0.04,0.069,0.116,0.242,0.23600000000000002,314,680,3,6,10
0.07100000000000001,0.114,0.195,0.28800000000000003,0.30000000000000004,317,666,3,6,10
0.14200000000000002,0.44,0.232,0.07200000000000001,0.068,320,590,3,12,6
0.107,0.152,0.274,0.431,0.23900000000000002,323,740,3,10,0
0.192,0.242,0.14300000000000002,0.044,0.045,326,696,3,10,8
0.036000000000000004,0.076,0.11800000000000001,0.156,0.082,329,826,3,3,10
0.117,0.186,0.279,0.633,0.306,332,644,3,6,4
0.111,0.16,0.318,0.66,0.463,335,692,3,10,10
0.088,0.149,0.243,0.458,0.44,338,665,3,6,10
0.052000000000000005,0.149,0.228,0.333,0.28300000000000003,341,791,3,3,13
0.184,0.231,0.177,0.049,0.052000000000000005,344,918,3,3,8
0.084,0.229,0.183,0.053,0.054,347,746,3,10,16
0.085,0.324,0.201,0.07200000000000001,0.064,350,618,5,9,8
0.059000000000000004,0.28,0.17400000000000002,0.059000000000000004,0.061,353,622,5,9,8
0.332,0.41500000000000004,0.122,0.14300000000000002,0.216,356,582,5,11,7
0.707,0.794,0.262,0.329,0.544,358,583,5,11,7
0.042,0.057,0.108,0.203,0.154,361,625,5,9,8
0.178,0.2,0.22,0.226,0.19,364,708,5,1,10
0.115,0.106,0.059000000000000004,0.038,0.055,367,687,5,1,10
0.10300000000000001,0.115,0.084,0.063,0.054,370,687,5,1,4
0.10200000000000001,0.169,0.134,0.10200000000000001,0.089,373,687,5,1,10
0.233,0.289,0.14,0.057,0.059000000000000004,376,682,5,12,16
0.078,0.197,0.305,0.436,0.359,379,683,5,1,4
0.078,0.14300000000000002,0.09,0.045,0.042,382,677,5,12,10
0.029,0.08600000000000001,0.156,0.185,0.149,385,686,5,12,10
0.091,0.152,0.2,0.293,0.227,388,707,5,10,14
0.045,0.07100000000000001,0.193,0.248,0.048,391,586,5,11,7
0.1,0.197,0.127,0.07,0.056,394,586,5,11,7
0.1,0.169,0.334,0.533,0.491,397,703,5,10,4
0.101,0.313,0.33,0.594,0.493,400,696,5,10,4
0.213,0.185,0.134,0.14300000000000002,0.097,403,594,5,11,8
0.105,0.203,0.367,0.511,0.488,406,707,5,10,7
0.528,0.679,0.47700000000000004,0.502,0.594,409,599,5,11,7
0.394,0.597,0.442,0.164,0.145,412,690,5,10,8
0.081,0.365,0.261,0.09,0.11900000000000001,415,599,5,11,16
0.109,0.279,0.169,0.06,0.061,418,576,5,11,8
0.109,0.341,0.198,0.073,0.075,421,576,5,11,16
0.192,0.368,0.226,0.10400000000000001,0.122,424,584,5,11,8
0.274,0.47200000000000003,0.262,0.137,0.137,427,595,5,11,8
0.07,0.303,0.20700000000000002,0.065,0.079,430,600,5,11,16
0.26,0.406,0.17200000000000001,0.067,0.07,433,599,5,11,7
0.7000000000000001,0.747,0.339,0.27,0.655,436,595,5,11,7
0.117,0.581,0.442,0.116,0.138,439,593,5,11,16
0.075,0.14,0.079,0.039,0.046,442,596,5,11,8
0.34400000000000003,0.383,0.233,0.114,0.148,445,696,5,10,8
0.195,0.123,0.221,0.20500000000000002,0.20500000000000002,448,700,5,10,8
0.064,0.10300000000000001,0.21,0.354,0.179,451,700,5,10,8
0.082,0.267,0.23600000000000002,0.108,0.276,454,697,5,10,7
0.34800000000000003,0.221,0.391,0.263,0.392,457,697,5,10,7
0.145,0.176,0.135,0.045,0.052000000000000005,460,687,5,6,10
0.195,0.7020000000000001,0.585,0.158,0.16,463,695,5,10,16
0.148,0.417,0.321,0.105,0.181,466,698,5,10,8
0.025,0.038,0.069,0.122,0.10200000000000001,469,722,5,10,10
0.02,0.07200000000000001,0.056,0.018000000000000002,0.015,472,835,5,10,16
0.133,0.448,0.335,0.098,0.084,474,819,5,10,16
0.179,0.552,0.432,0.114,0.11,476,704,5,9,16
0.321,0.37,0.271,0.258,0.343,479,711,5,9,7
0.46,0.667,0.367,0.15,0.178,482,704,5,9,8
0.101,0.28500000000000003,0.435,0.55,0.47200000000000003,485,709,5,9,8
0.117,0.182,0.124,0.652,0.729,488,615,5,7,1
0.134,0.403,0.298,0.669,0.582,491,608,5,11,1
0.098,0.099,0.218,0.515,0.446,494,609,5,11,1
0.128,0.403,0.271,0.065,0.061,497,769,5,10,10
0.223,0.654,0.518,0.14,0.085,500,730,5,10,16
0.196,0.47400000000000003,0.327,0.181,0.127,503,658,5,7,8
0.437,0.645,0.34700000000000003,0.165,0.092,506,654,5,6,7
0.151,0.291,0.295,0.502,0.387,509,654,5,6,7
0.114,0.394,0.389,0.37,0.211,512,667,5,6,7
0.14300000000000002,0.092,0.154,0.5710000000000001,0.601,515,655,5,6,4
0.08600000000000001,0.2,0.356,0.495,0.28800000000000003,518,671,5,6,4
0.106,0.293,0.488,0.6000000000000001,0.319,521,669,5,6,16
0.41600000000000004,0.672,0.394,0.164,0.105,524,664,5,7,8
0.516,0.834,0.34800000000000003,0.638,0.281,527,1273,0,4,7
0.18,0.529,0.528,0.137,0.095,530,1221,0,4,8
0.17,0.644,0.685,0.149,0.106,533,1275,0,4,16
0.227,0.395,0.34600000000000003,0.092,0.067,536,1146,0,2,7
0.28500000000000003,0.791,0.447,0.446,0.258,539,1216,0,4,8
0.29,0.763,0.725,0.149,0.112,542,1216,0,4,8
0.508,0.616,0.528,0.529,0.365,545,1144,0,2,7
0.185,0.327,0.251,0.116,0.064,548,1170,0,2,8
0.324,0.616,0.53,0.14,0.093,550,1150,0,2,7
0.491,0.793,0.27,0.222,0.201,553,1141,0,2,7
0.128,0.531,0.611,0.20700000000000002,0.113,556,1184,0,2,16
0.065,0.271,0.159,0.058,0.036000000000000004,559,673,0,12,16
0.06,0.20400000000000001,0.215,0.062,0.046,561,1253,0,4,7
0.11,0.604,0.294,0.083,0.07100000000000001,564,654,0,12,16
0.14300000000000002,0.195,0.10200000000000001,0.055,0.052000000000000005,567,684,0,12,16
0.154,0.396,0.27,0.089,0.081,569,629,0,9,8
0.07200000000000001,0.108,0.059000000000000004,0.035,0.031,571,676,0,9,16
0.043000000000000003,0.20800000000000002,0.132,0.049,0.04,573,637,0,9,7
0.177,0.533,0.54,0.225,0.23,576,620,0,9,15
0.079,0.293,0.327,0.121,0.113,579,677,0,9,10
0.146,0.248,0.125,0.07100000000000001,0.056,582,663,0,9,8
0.595,0.619,0.41400000000000003,0.088,0.199,584,625,0,9,8
0.084,0.515,0.398,0.138,0.05,587,664,0,9,4
0.376,0.38,0.28800000000000003,0.31,0.221,590,623,0,9,15
0.656,0.617,0.588,0.617,0.337,593,664,0,9,8
0.06,0.075,0.188,0.402,0.19,596,618,0,9,8
0.46900000000000003,0.548,0.292,0.116,0.079,599,672,0,9,4
0.753,0.71,0.41300000000000003,0.106,0.40900000000000003,602,628,0,9,9
0.115,0.153,0.23900000000000002,0.554,0.365,605,621,0,9,13
0.108,0.152,0.121,0.14100000000000001,0.234,608,623,0,9,2
0.325,0.503,0.266,0.115,0.068,611,671,0,9,16
0.276,0.468,0.255,0.096,0.068,614,674,0,9,7
0.068,0.486,0.498,0.221,0.07100000000000001,617,630,0,9,2
0.495,0.657,0.557,0.083,0.241,620,633,0,9,8
0.069,0.073,0.052000000000000005,0.029,0.065,623,963,0,3,7
0.421,0.509,0.364,0.074,0.28400000000000003,626,632,0,9,7
0.14200000000000002,0.20400000000000001,0.127,0.049,0.06,629,939,0,3,8
0.025,0.041,0.09,0.132,0.123,632,635,0,9,16
0.032,0.067,0.068,0.027,0.025,635,939,0,3,8
0.217,0.33,0.212,0.063,0.08600000000000001,638,626,0,9,4
0.297,0.447,0.354,0.09,0.151,641,626,0,9,10
0.46,0.629,0.47300000000000003,0.126,0.211,644,624,0,9,7
0.023,0.049,0.029,0.01,0.01,647,897,0,3,7
0.604,0.712,0.29,0.605,0.24,650,625,0,9,7
0.273,0.41200000000000003,0.324,0.34400000000000003,0.331,653,627,0,9,7
0.455,0.519,0.28200000000000003,0.429,0.343,656,627,0,9,7
0.302,0.215,0.076,0.045,0.039,659,628,0,9,8
0.077,0.10300000000000001,0.259,0.393,0.132,662,634,0,9,10
0.192,0.356,0.136,0.094,0.111,665,629,0,9,10
0.212,0.391,0.202,0.093,0.074,668,633,0,9,16
0.264,0.712,0.485,0.159,0.161,671,636,0,9,16
0.33,0.549,0.322,0.154,0.149,674,633,0,9,16
0.181,0.5,0.37,0.126,0.15,677,742,6,3,8
0.113,0.341,0.67,0.749,0.636,680,746,6,3,10
0.14100000000000001,0.593,0.466,0.058,0.062,683,756,6,3,16
0.379,0.456,0.216,0.355,0.146,686,783,6,3,16
0.016,0.038,0.107,0.125,0.05,689,774,6,3,16
0.069,0.155,0.35100000000000003,0.442,0.197,692,738,6,10,4
0.526,0.519,0.291,0.217,0.131,695,701,6,9,10
0.051000000000000004,0.061,0.033,0.012,0.015,698,770,6,3,10
0.016,0.049,0.075,0.08600000000000001,0.068,701,762,6,3,4
0.081,0.11900000000000001,0.047,0.03,0.032,704,770,6,3,8
0.022,0.033,0.037,0.041,0.02,707,770,6,3,4
0.062,0.113,0.069,0.022,0.022,710,763,6,3,8
0.307,0.362,0.167,0.063,0.058,713,778,6,3,4
0.115,0.49,0.444,0.292,0.10400000000000001,716,760,6,3,4
0.088,0.449,0.539,0.624,0.611,719,754,6,3,4
0.098,0.264,0.423,0.599,0.315,722,756,6,3,8
0.41000000000000003,0.44,0.233,0.083,0.082,725,767,6,3,3
0.209,0.752,0.582,0.12,0.094,728,756,6,3,16
0.19,0.603,0.461,0.134,0.124,731,757,6,3,8
0.045,0.097,0.17200000000000001,0.292,0.25,734,669,6,9,4
0.19,0.189,0.405,0.5760000000000001,0.382,737,726,6,10,8
0.099,0.169,0.422,0.782,0.6990000000000001,740,793,6,3,8
0.094,0.28200000000000003,0.502,0.602,0.5690000000000001,744,733,6,10,10
0.117,0.167,0.379,0.5730000000000001,0.373,747,671,6,9,4
0.34900000000000003,0.40800000000000003,0.20600000000000002,0.125,0.35100000000000003,750,672,6,9,4
0.094,0.268,0.318,0.162,0.2,753,678,6,0,4
0.089,0.113,0.149,0.254,0.311,756,678,6,0,10
0.164,0.519,0.397,0.201,0.137,759,687,6,0,16
0.44,0.47000000000000003,0.41000000000000003,0.177,0.196,762,687,6,0,8
0.64,0.714,0.581,0.14100000000000001,0.129,765,701,6,0,16
0.115,0.162,0.24000000000000002,0.432,0.2825,768,704,6,0,10
0.14,0.226,0.23149999999999998,0.374,0.388,771,713,6,0,16
0.02,0.036000000000000004,0.0435,0.058,0.087,774,734,6,0,5
0.067,0.098,0.096,0.42,0.458,777,820,6,10,5
,,0.458,0.157,0.24,780,886,6,10,13
,,0.354,0.308,0.231,783,833,6,10,16
,,0.11800000000000001,0.036000000000000004,0.048,786,823,6,10,2
,,0.112,0.063,0.044,789,820,6,10,2
,,0.183,0.378,0.218,792,868,6,10,4
,,0.064,0.095,0.074,795,763,1,5,16
,,0.487,0.429,0.295,798,770,1,5,16
,,0.5640000000000001,0.324,0.332,801,785,1,5,10
,,0.026000000000000002,0.05,0.041,804,867,1,10,4
,,0.019,0.044,0.03,809,868,1,10,8
,,0.183,0.057,0.057,812,892,1,10,4
,,0.352,0.509,0.54,815,907,1,10,10
,,0.11900000000000001,0.293,0.224,818,937,1,10,4
,,0.038,0.052000000000000005,0.047,821,951,1,10,4
,,0.048,0.095,0.084,824,1014,1,10,4
,,0.157,0.169,0.266,827,1030,1,10,4
,,0.094,0.049,0.051000000000000004,830,940,1,10,16
,,0.037,0.05,0.055,833,1046,1,10,10
,,0.088,0.14200000000000002,0.134,836,1094,1,10,8
,,0.035,0.04,0.046,839,1094,1,10,8
,,0.057,0.089,0.076,842,1110,1,10,8
,,0.181,0.34600000000000003,0.195,845,1078,1,10,16
,,0.231,0.066,0.069,848,940,1,10,16
,,0.152,0.08600000000000001,0.08,851,1219,1,3,8
,,0.342,0.677,0.5740000000000001,854,914,1,10,10
,,0.423,0.686,0.463,857,891,1,10,4
,,0.549,0.749,0.676,860,937,1,10,8
,,0.41400000000000003,0.648,0.517,863,928,1,10,13
,,0.112,0.28300000000000003,0.201,866,1120,1,10,16
,,0.453,0.106,0.106,869,1078,1,10,8
,,0.203,0.492,0.40800000000000003,872,1115,1,10,16
,,0.051000000000000004,0.106,0.094,875,1130,1,10,10
,,0.096,0.234,0.212,878,1107,1,10,4
,,0.506,0.40800000000000003,0.273,881,1147,1,3,10
,,0.171,0.355,0.20500000000000002,884,925,1,10,10
,,0.453,0.216,0.23900000000000002,887,965,2,10,4
,,0.312,0.332,0.218,890,979,2,10,4
,,0.089,0.07200000000000001,0.078,893,977,2,10,10
,,0.212,0.319,0.221,896,982,2,10,4
,,0.045,0.077,0.076,899,982,2,10,4
,,0.032,0.043000000000000003,0.041,902,985,2,10,4
,,0.047,0.074,0.08,905,985,2,10,10
,,0.495,0.093,0.084,908,1004,2,10,16
,,0.166,0.047,0.038,911,1008,2,10,8
,,0.20800000000000002,0.047,0.04,914,1008,2,10,16
,,0.131,0.029,0.024,917,1002,2,10,8
,,0.178,0.06,0.05,920,1002,2,10,16
,,0.368,0.067,0.055,923,1012,2,10,8
,,0.621,0.244,0.264,926,1001,2,10,4
,,0.378,0.396,0.304,929,1001,2,10,10
,,0.083,0.019,0.017,932,1024,2,3,8
,,0.02,0.021,0.018000000000000002,935,1001,2,10,10
,,0.054,0.01,0.009000000000000001,938,1024,2,3,16
,,0.044,0.008,0.008,941,1024,2,3,16
,,0.056,0.013000000000000001,0.012,944,1024,2,3,16
,,0.041,0.009000000000000001,0.009000000000000001,947,1024,2,3,8
,,0.56,0.108,0.10400000000000001,950,1071,2,10,16
,,0.383,0.718,0.5740000000000001,953,1074,2,10,10
,,0.313,0.097,0.111,956,1073,2,10,10
,,0.388,0.519,0.42,959,1077,2,10,8
,,0.17400000000000002,0.111,0.145,962,1077,2,10,7
,,0.381,0.106,0.108,965,1077,2,10,8
,,0.606,0.134,0.135,968,1077,2,10,4
,,0.386,0.389,0.307,971,1083,2,10,10
,,0.155,0.219,0.20500000000000002,974,1085,2,10,13
,,0.596,0.47300000000000003,0.453,977,1539,2,4,2
,,0.123,0.147,0.085,980,1497,2,4,2
,,0.131,0.13,0.038,983,1527,2,4,2
,,0.217,0.215,0.15,986,1544,2,4,2
,,0.22,0.177,0.045,989,1559,2,4,2
,,0.081,0.155,0.122,992,1571,2,4,2
