index_month_4,index_month_5,index_month_6,index_month_7,index_month_8,elevation,culture_name
-0.047,-0.298,-0.293,0.148,0.105,724,0
0.016,0.27,0.298,0.26,0.757,729,1
-0.034,-0.258,-0.017,0.131,-0.086,626,2
0.068,-0.186,-0.112,0.286,0.12,619,1
0.11,0.439,-0.3,-0.02,0.211,966,2
-0.086,-0.157,0.349,0.344,0.469,953,3
0.071,-0.093,0.166,-0.234,-0.234,653,4
-0.073,0.54,-0.049,0.117,-0.132,590,2
0.082,0.075,-0.159,0.171,-0.084,722,2
-0.049,0.21,0.044,-0.057,0.084,716,0
0.104,0.179,0.136,-0.184,-0.122,728,0
-0.038,0.289,0.275,0.21,0.162,645,0
0.094,0.292,0.295,0.253,-0.066,649,0
-0.026,0.041,-0.133,0.081,-0.086,719,0
0.083,0.301,0.253,0.218,-0.181,742,0
0.087,-0.247,0.3,0.268,-0.079,649,3
0.032,-0.057,0.148,0.06,0.08,651,3
0.123,0.161,-0.202,0.21,0.359,652,3
0.131,0.348,-0.018,0.146,0.046,773,2
-0.039,0.115,0.259,0.132,-0.03,918,2
0.087,0.059,0.002,0.1,-0.058,791,2
0.019,-0.047,0.096,0.191,0.101,826,3
0.059,-0.09,0.18,0.14,0.13,692,3
0.032,-0.048,0.11,0.159,0.218,680,3
-0.023,-0.082,0.199,0.329,-0.187,666,4
0.029,0.006,0.082,-0.027,-0.021,696,4
-0.02,-0.115,0.26,0.064,0.042,746,0
0.123,0.267,-0.178,0.357,0.181,813,1
-0.025,0.037,0.071,0.069,-0.095,658,4
0.049,-0.045,0.096,-0.186,-0.072,1063,4
-0.058,0.047,-0.043,-0.02,0.235,587,4
0.029,-0.064,-0.047,0.16,0.027,588,4
0.019,0.02,-0.053,0.034,-0.084,722,4
-0.104,-0.145,0.225,-0.322,0.146,696,3
-0.143,0.194,0.416,0.188,0.5750000000000001,707,1
-0.138,-0.357,0.176,0.147,0.094,730,0
0.029,0.054,0.047,0.057,0.049,677,4
0.026,0.037,-0.08,0.054,0.052,687,4
-0.011,0.075,0.126,0.25,0.179,708,4
0.096,-0.062,0.152,0.465,0.103,671,3
0.219,0.616,0.0,0.271,0.211,654,2
-0.03,0.408,0.041,0.19,-0.2,669,2
-0.115,0.396,0.295,-0.217,0.184,711,1
-0.041,-0.115,-0.224,0.072,0.389,709,4
0.125,0.473,-0.219,-0.201,-0.109,658,2
0.111,0.12,-0.153,0.306,0.138,655,3
-0.125,-0.111,0.25,0.356,-0.339,654,3
-0.104,-0.141,0.205,0.125,0.49,703,3
0.001,-0.204,-0.137,-0.113,0.053,618,2
0.051,0.047,0.127,-0.031,-0.058,622,2
0.074,0.041,0.117,0.104,-0.074,625,2
-0.072,0.543,0.415,-0.2,-0.131,704,0
0.023,0.31,-0.156,-0.055,0.118,698,2
-0.051,-0.117,-0.153,0.114,-0.221,697,3
-0.076,0.096,-0.127,0.335,0.221,697,1
0.147,-0.036,0.12,-0.183,-0.181,700,3
0.075,0.122,0.075,-0.009,-0.077,700,2
0.132,0.216,0.115,-0.129,-0.128,696,2
-0.033,0.306,0.16,-0.1,-0.062,576,2
-0.075,0.305,0.152,0.133,0.067,576,0
-0.031,-0.115,0.032,0.07,0.057,586,0
-0.033,0.079,0.147,0.156,0.186,586,3
0.017,-0.237,-0.048,0.129,-0.129,584,2
-0.161,0.334,-0.068,0.091,0.086,595,2
0.082,-0.435,0.26,0.161,0.346,595,1
-0.02,0.181,0.239,-0.101,0.095,593,0
0.017,0.441,0.253,0.175,0.041,599,1
-0.052,-0.144,0.274,-0.133,0.068,600,0
0.121,0.274,-0.05,0.061,0.085,599,2
-0.008,0.125,-0.048,-0.044,0.045,596,2
0.053,-0.123,-0.063,0.058,-0.055,594,2
0.057,-0.059,0.192,0.247,-0.222,769,4
-0.143,0.402,0.379,0.182,0.15,690,2
0.025,0.072,0.137,-0.064,0.047,682,0
-0.054,-0.041,0.07,-0.248,0.4,683,3
-0.028,-0.023,0.012,-0.083,0.153,686,4
-0.02,0.065,-0.092,0.054,0.14,687,4
-0.018,-0.008,-0.053,0.082,0.035,687,3
-0.022,0.052,0.031,0.09,0.151,687,4
0.065,0.1708,0.289,0.44,-0.323,656,3
-0.051,0.205,0.474,0.223,0.094,654,0
-0.04,0.1134,0.146,-0.173,0.314,728,4
0.168,0.0732,-0.043,-0.151,-0.116,750,2
-0.016,0.1618,0.273,0.321,0.241,752,1
0.211,0.1538,0.196,0.042,0.464,757,1
0.116,0.0442,0.296,0.182,0.078,638,0
-0.017,0.1926,0.039,0.007,0.027,715,1
-0.014,0.066,0.019,0.027,0.026,706,0
0.054,0.0854,-0.075,-0.091,-0.029,705,1
0.043,0.2186,0.123,0.069,-0.057,708,0
-0.041,0.085,-0.093,0.066,0.053,621,0
-0.196,0.1756,-0.035,0.165,-0.143,709,2
0.106,0.0712,-0.134,-0.068,0.044,707,2
-0.084,0.153,0.136,0.083,-0.126,610,0
0.038,0.605,0.397,0.183,-0.109,726,2
0.039,-0.09,0.076,0.095,0.482,701,4
0.035,0.042,0.01,0.063,0.065,669,3
-0.111,0.193,0.022,0.583,-0.285,671,3
0.044,-0.118,-0.243,0.329,0.326,738,3
0.033,0.055,-0.207,-0.002,-0.161,672,3
0.042,0.117,0.005,-0.165,0.048,678,3
-0.051,-0.123,0.141,0.204,-0.274,678,4
-0.112,0.352,0.002,-0.134,0.179,687,0
0.19,0.043,0.235,0.167,-0.175,687,2
0.064,0.446,0.196,-0.29,0.207,701,0
-0.105,-0.128,0.166,0.02,-0.305,754,3
-0.104,0.117,0.413,0.183,-0.236,756,2
-0.123,0.04,0.127,0.342,-0.2,757,2
-0.015,-0.045,0.062,0.044,-0.044,762,3
0.085,-0.168,-0.32,0.391,0.288,760,3
0.035,0.02,0.04,-0.039,0.02,763,2
-0.013,-0.063,0.049,-0.044,-0.045,770,2
-0.016,-0.039,0.036,-0.023,0.036,770,3
-0.007,-0.038,-0.029,-0.014,-0.031,770,4
-0.031,-0.055,0.177,-0.203,0.281,778,3
0.0,-0.018,0.03,-0.018,0.015,897,2
0.048,0.052,-0.126,0.054,0.042,939,1
-0.009,0.044,-0.036,-0.004,0.051,939,1
-0.006,0.015,-0.043,0.001,0.014,963,2
0.115,0.676,-0.262,0.175,-0.127,620,2
0.117,0.529,0.439,-0.14,-0.117,628,2
0.161,0.507,-0.038,-0.224,0.21,630,1
0.101,0.092,-0.006,-0.091,0.035,618,2
-0.076,0.077,0.071,-0.06,-0.047,637,1
0.044,0.121,-0.2,0.335,0.148,627,4
0.048,0.054,0.086,0.044,0.074,626,3
0.057,0.239,0.317,0.132,0.062,654,0
-0.027,-0.001,-0.128,-0.169,0.13,626,4
-0.041,0.233,0.395,-0.096,-0.137,1221,2
-0.024,0.115,0.179,0.125,0.213,1146,1
0.102,0.161,0.304,0.184,-0.261,1144,1
-0.033,0.04,0.226,0.2,-0.034,1253,2
0.06,0.338,0.143,-0.035,0.117,1141,0
-0.061,0.125,0.004,-0.244,0.144,627,4
-0.04,-0.036,-0.116,-0.199,-0.21,629,3
0.047,-0.057,0.176,0.085,0.339,634,3
-0.058,-0.016,0.08,0.113,0.003,636,0
-0.041,0.198,0.07,0.184,-0.088,633,0
0.21,0.048,-0.037,0.053,-0.067,628,2
-0.027,-0.096,0.073,-0.267,0.396,624,4
0.097,-0.127,0.027,0.619,0.141,672,3
-0.091,-0.083,0.323,0.131,0.114,674,3
0.049,-0.116,-0.178,0.483,0.306,671,3
0.032,0.072,0.205,0.467,0.299,664,4
0.017,0.019,0.008,0.115,0.076,635,3
0.044,0.063,0.05,0.33,0.099,677,4
0.056,-0.13,0.214,0.208,0.077,724,4
0.129,0.176,-0.002,0.64,0.452,712,3
0.104,0.243,0.261,-0.131,0.133,723,2
-0.061,-0.132,0.251,0.167,0.159,737,2
-0.05,0.035,0.434,0.146,0.125,737,3
0.252,0.093,-0.153,0.125,-0.145,606,2
-0.026,0.1472,-0.078,-0.145,-0.139,605,2
0.002,0.1,-0.053,0.08,0.108,587,1
-0.132,0.3218,-0.0598,0.1614,-0.215,713,1
-0.0266,-0.224,-0.009,0.0986,0.0848,588,2
0.031,-0.012,0.246,0.109,-0.053,603,2
0.049,-0.061,-0.182,0.088,0.108,599,1
-0.033,0.058,0.172,0.091,0.046,603,2
-0.02,0.591,0.235,0.089,0.059,605,2
-0.077,0.006,-0.082,-0.117,-0.111,606,0
-0.056,-0.073,0.102,-0.033,0.223,646,4
-0.084,0.192,-0.219,0.365,0.371,657,3
0.062,0.169,-0.211,0.549,0.183,664,3
0.05,-0.077,0.001,-0.201,0.243,696,4
0.068,0.328,-0.112,-0.135,0.101,711,4
-0.042,-0.318,-0.282,0.223,-0.169,717,4
0.005,-0.242,0.3,0.256,-0.017,742,1
-0.028,0.007,0.066,0.033,0.028,784,0
0.066,-0.107,0.137,0.076,-0.073,625,0
0.043,-0.15,0.224,0.0812,-0.094,1120,0
0.065,0.276,0.095,0.0812,-0.154,1078,2
-0.017,-0.028,0.065,0.059,0.099,1130,4
-0.042,-0.032,-0.098,0.0812,-0.133,1107,3
-0.104,-0.087,0.15,0.1006,0.178,914,4
-0.118,0.137,-0.438,0.173,-0.21,937,2
-0.099,-0.014,0.158,-0.0532,0.6980000000000001,785,4
0.069,-0.187,-0.011,0.1006,0.152,907,4
0.015,0.051,0.046,0.0208,-0.026,1046,4
-0.063,-0.093,0.189,0.173,0.103,925,4
-0.011,0.013,0.024,0.2,0.053,867,3
-0.04,0.099,-0.098,0.1006,0.242,892,3
-0.016,0.034,0.037,0.1468,-0.053,951,3
-0.06,0.083,0.215,0.173,0.26,937,3
0.032,0.126,-0.119,0.0956,0.286,1030,3
0.06,-0.067,0.001,0.0956,0.103,1014,3
-0.096,0.197,0.159,0.0812,0.122,1078,0
0.017,0.081,-0.105,0.0164,-0.056,1219,2
0.02,0.017,0.031,0.0812,-0.019,1110,2
0.011,0.027,0.077,0.0812,0.03,1094,2
-0.034,0.056,0.205,0.0812,0.06,1094,2
-0.006,0.023,0.031,0.1278,0.016,879,2
0.006,-0.018,0.004,0.2,0.014,868,2
-0.095,0.087,-0.369,0.0812,0.157,1071,0
-0.121,-0.104,0.251,0.0812,0.115,1077,3
-0.073,0.204,0.122,0.0812,0.109,1077,2
0.06,0.193,0.105,0.0812,0.014,1077,1
0.046,0.401,0.372,0.0812,0.146,1077,2
0.009,0.027,0.039,0.132,-0.047,985,4
-0.024,-0.029,0.033,0.132,0.07,977,4
-0.006,0.066,-0.048,0.132,0.046,982,3
0.007,-0.004,0.009,0.132,0.052,985,3
-0.066,-0.09,0.071,0.132,0.251,982,3
-0.089,0.152,0.135,0.132,0.548,979,3
0.043,0.038,-0.098,0.0956,0.052,1008,2
-0.025,0.024,0.024,0.0956,0.021,1024,2
-0.012,0.035,-0.02,0.0956,0.012,1024,2
-0.091,0.424,-0.04,0.0956,0.054,1012,2
-0.027,-0.08,-0.003,0.0956,-0.043,1002,2
-0.09,0.298,-0.281,0.0956,0.07,1004,0
0.067,0.262,-0.035,0.0956,-0.076,1008,0
0.013,0.014,-0.029,0.0956,0.008,1024,0
-0.008,-0.022,0.008,0.0956,0.009,1024,0
-0.004,0.018,0.033,0.0956,0.012,1024,0
0.046,0.211,-0.041,0.0956,-0.075,1002,0
0.05,-0.047,-0.137,0.0812,-0.171,1073,4
0.018,0.0732,0.079,0.096,0.063,751,3
0.009,0.1308,0.055,-0.019,-0.016,751,0
0.019,-0.0322,0.029,0.022,-0.024,766,3
-0.009,0.2004,0.006,0.043,0.026,742,3
-0.031,0.068,-0.056,0.097,-0.08,735,3
-0.026,0.0498,0.059,0.14,0.153,721,3
0.011,0.0122,0.032,0.054,0.022,720,3
0.016,-0.022,0.123,-0.082,0.138,720,4
-0.052,-0.0114,0.21,-0.1,-0.022,672,4
-0.096,0.0056,0.111,-0.181,0.051,676,4
-0.018,0.0528,0.216,0.181,0.119,707,4
0.071,0.018,0.377,0.237,0.501,685,4
-0.198,0.216,-0.229,-0.063,0.125,692,2
-0.042,0.1482,0.416,0.314,-0.317,660,4
-0.075,0.3058,0.408,-0.336,0.377,660,1
-0.17,0.0016,0.039,0.14,-0.146,685,2
-0.054,0.369,0.295,-0.191,0.195,742,2
0.037,0.265,0.376,-0.068,0.07,783,0
-0.021,-0.018,0.02,-0.077,0.031,774,0
0.043,0.338,-0.256,0.181,0.041,756,0
-0.076,-0.069,0.113,0.132,0.443,965,3
0.004,0.007,0.016,0.0956,-0.015,1001,4
0.107,-0.17,0.025,0.0956,0.196,1001,3
0.067,0.076,0.246,0.0956,0.43,1001,4
0.058,-0.223,0.284,-0.0024,0.187,770,0
0.013,0.042,0.054,0.152,0.035,763,0
0.028,0.006,0.064,0.173,0.037,940,0
-0.059,0.132,0.147,0.173,0.061,940,0
